show_id,actor_id
s2,1
s2,2
s2,3
s2,4
s2,5
s2,6
s2,7
s2,8
s2,9
s2,10
s2,11
s2,12
s2,13
s2,14
s2,15
s2,16
s2,17
s2,18
s2,19
s3,20
s3,21
s3,22
s3,23
s3,24
s3,25
s3,26
s3,27
s3,28
s5,29
s5,30
s5,31
s5,32
s5,33
s5,34
s5,35
s5,36
s6,37
s6,38
s6,39
s6,40
s6,41
s6,42
s6,43
s6,44
s6,45
s6,46
s6,47
s6,48
s6,49
s6,50
s6,51
s6,52
s7,53
s7,54
s7,55
s7,56
s7,57
s7,58
s7,59
s7,60
s7,61
s7,62
s8,63
s8,64
s8,65
s8,66
s8,67
s8,68
s8,69
s8,70
s9,71
s9,72
s9,73
s9,74
s10,75
s10,76
s10,77
s10,78
s10,79
s10,80
s10,81
s10,82
s10,83
s10,84
s10,85
s12,86
s12,87
s12,88
s12,89
s12,90
s12,91
s12,92
s12,93
s12,94
s12,95
s12,96
s12,97
s12,98
s12,99
s12,100
s12,101
s12,102
s12,103
s12,104
s12,105
s12,106
s12,107
s12,108
s12,109
s12,110
s13,111
s13,112
s13,113
s13,114
s13,115
s13,116
s13,117
s13,118
s13,119
s13,120
s13,121
s14,122
s14,123
s14,124
s14,125
s14,126
s14,127
s14,128
s14,129
s14,130
s14,131
s16,132
s16,133
s16,134
s16,135
s16,136
s16,137
s16,138
s16,139
s18,140
s18,141
s18,142
s18,143
s18,144
s18,145
s18,146
s18,147
s18,148
s18,149
s18,150
s18,151
s19,152
s19,153
s19,154
s19,155
s19,156
s19,157
s19,158
s19,159
s19,160
s19,161
s20,162
s20,163
s20,164
s20,165
s20,166
s20,167
s20,168
s20,169
s22,170
s22,171
s22,172
s22,173
s22,174
s22,175
s22,176
s22,177
s22,178
s22,179
s23,180
s23,181
s23,182
s23,183
s23,184
s23,185
s24,186
s24,187
s24,188
s24,189
s25,190
s25,191
s25,192
s25,184
s26,193
s27,194
s27,195
s27,196
s27,184
s27,185
s27,197
s28,198
s28,199
s28,200
s28,201
s28,202
s28,203
s28,204
s28,205
s28,206
s28,207
s28,208
s29,209
s29,210
s29,211
s29,212
s29,213
s29,214
s29,215
s29,216
s29,217
s29,218
s30,219
s30,220
s30,221
s30,222
s30,223
s30,224
s30,225
s30,226
s30,227
s30,228
s31,229
s31,230
s31,231
s31,232
s31,233
s31,234
s31,235
s32,236
s32,237
s32,238
s32,239
s32,240
s32,241
s32,242
s32,243
s32,244
s32,245
s32,246
s33,247
s33,248
s33,249
s33,250
s33,251
s33,252
s33,253
s34,254
s34,255
s34,256
s34,257
s34,258
s34,259
s34,260
s34,261
s34,262
s34,263
s35,264
s35,265
s35,266
s35,267
s35,268
s36,269
s36,270
s36,271
s36,272
s36,273
s36,274
s36,275
s36,276
s36,277
