show_id,director_id
s1,1
s3,2
s6,3
s7,4
s7,5
s8,6
s9,7
s10,8
s12,9
s13,10
s14,11
s17,12
s17,13
s19,14
s21,15
s23,16
s24,17
s24,18
s25,19
s27,20
s28,21
s29,22
s30,23
s31,24
s31,25
s31,26
s36,27
s37,28
s39,29
s42,30
s43,31
s44,32
s45,33
s46,34
s47,35
s48,36
s49,37
s52,38
s53,38
s54,38
s55,38
s57,39
s58,40
s59,39
s60,40
s61,39
s62,41
s63,42
s64,43
s65,44
s69,45
s69,46
s69,47
s72,48
s74,49
s76,50
s78,51
s79,52
s80,52
s81,53
s82,54
s85,55
s85,56
s87,57
s89,58
s91,59
s92,60
s92,61
s94,62
s95,63
s97,64
s102,65
s102,66
s103,67
s104,68
s106,69
s108,70
s111,71
s111,72
s113,73
s114,74
s115,75
s116,76
s117,77
s118,78
s119,79
s120,80
s123,76
s127,81
s128,82
s129,83
s130,84
s131,85
s132,86
s134,87
s135,88
s136,89
s137,90
s138,91
s139,84
s140,92
s141,93
s142,94
s143,95
s144,96
s145,97
s146,98
s146,99
s147,100
s149,101
s150,102
s151,103
s152,104
s152,105
s153,106
s156,107
s157,108
s158,109
s159,110
s160,111
s162,112
s163,97
s164,113
s165,114
s167,115
s168,116
s168,117
s169,118
s169,119
s170,120
s171,121
s172,122
s173,123
s174,124
s175,37
s176,125
s177,126
s178,127
s179,128
s179,129
s180,130
s181,131
s183,132
s184,120
s186,65
s186,66
s189,133
s189,134
s191,135
s192,136
s193,137
s196,138
s197,139
s199,49
s200,140
s201,141
s202,142
s202,143
s203,144
s204,145
s205,137
s206,146
s207,147
s208,148
s209,149
s210,149
s211,150
s212,151
s215,152
s216,148
s217,153
s217,154
s218,149
s222,155
s223,156
s224,157
s224,158
s228,159
s229,160
s230,161
s231,162
s232,163
s234,164
s236,165
s237,166
s238,166
s239,166
s240,166
s241,167
s245,168
s247,169
s248,170
s250,171
s251,172
s252,173
s253,174
s254,175
s256,176
s257,177
s258,175
s259,178
s260,179
s262,11
s263,180
s265,181
s268,76
s269,182
s271,183
s274,184
s277,185
s279,186
s280,187
s282,188
s283,189
s284,190
s285,191
s286,192
s288,193
s291,194
s293,195
s294,196
s295,197
s296,198
s298,199
s298,200
s298,201
s298,202
s298,203
s298,204
s298,166
s298,205
s298,206
s299,207
s300,208
s301,209
s301,210
s302,211
s303,212
s303,213
s304,214
s305,215
s306,216
s307,217
s308,218
s309,219
s311,220
s315,221
s316,222
s317,223
s318,224
s319,225
s319,226
s326,227
s327,228
s328,229
s329,230
s330,30
s331,231
s331,232
s333,89
s334,233
s335,234
s336,235
s338,236
s340,237
s340,238
s341,239
s342,240
s343,241
s344,242
s345,242
s346,243
s347,244
s348,245
s349,246
s350,247
s351,248
s352,249
s353,250
s354,251
s355,252
s356,253
s357,254
s358,156
s359,255
s360,92
s361,256
s363,257
s364,258
s366,259
s368,260
s372,259
s373,261
s374,262
s375,263
s376,264
s378,265
s379,266
s381,267
s384,268
s385,269
s388,270
s389,271
s389,272
s390,273
s393,274
s394,275
s395,276
s396,277
s397,278
s399,279
s403,280
s406,281
s407,282
s408,282
s409,282
s410,282
s411,282
s412,282
s413,282
s414,282
s415,282
s416,282
s417,282
s418,283
s419,284
s419,285
s420,282
s421,282
s422,282
s422,286
s423,282
s424,282
s425,282
s427,287
s427,288
s428,289
s429,290
s430,291
s433,292
s433,293
s433,294
s434,295
s437,296
s438,297
s439,298
s440,299
s440,300
s440,301
s440,302
s440,303
s442,304
s444,305
s445,306
s446,307
s447,308
s448,309
s449,309
s450,310
s451,311
s452,312
s453,313
s455,314
s456,315
s458,316
s459,317
s461,318
s461,319
s462,320
s463,321
s464,322
s464,323
s465,324
s468,325
s469,326
s470,327
s472,328
s472,329
s474,330
s475,331
s476,332
s477,333
s480,304
s481,334
s482,335
s485,336
s486,337
s487,338
s487,339
s490,340
s492,341
s493,342
s495,343
s496,344
s497,345
s499,346
s501,347
s502,291
s503,348
s504,349
s506,350
s506,351
s507,352
s508,353
s509,354
s519,355
s529,356
s529,357
s530,358
s532,359
s532,360
s532,361
s535,362
s542,363
s543,364
s551,304
s552,365
s553,366
s555,367
s556,368
s557,369
s558,370
s558,371
s559,372
s560,120
s561,373
s562,374
s563,374
s564,374
s565,240
s567,375
s568,376
s569,241
s570,377
s571,378
s573,379
s574,380
s574,381
s575,382
s576,383
s577,384
s578,385
s579,386
s580,387
s581,388
s582,389
s583,256
s584,390
s585,391
s586,392
s587,393
s588,394
s588,395
s588,396
s588,397
s588,398
s590,399
s592,400
s593,401
s594,402
s595,403
s596,404
s597,405
s598,406
s599,407
s600,408
s601,409
s602,410
s603,410
s604,410
s605,411
s606,412
s607,413
s608,414
s609,415
s610,416
s611,417
s612,418
s612,419
s613,420
s614,421
s615,422
s616,423
s617,424
s619,425
s620,426
s622,427
s623,428
s624,429
s625,430
s627,431
s630,432
s631,433
s633,434
s634,435
s635,436
s636,437
s637,438
s638,439
s638,440
s638,25
s644,441
s645,442
s646,443
s647,444
s650,350
s651,445
s652,446
s653,446
s655,447
s656,447
s657,447
s665,448
s667,449
s671,450
s671,451
s672,450
s672,451
s673,450
s677,452
s682,453
s684,454
s686,455
s688,203
s689,207
s690,450
s690,451
s691,261
s693,223
s694,456
s695,457
s696,457
s699,458
s702,459
s703,460
s705,461
s706,462
s708,463
s709,464
s712,465
s713,466
s717,467
s719,468
s722,469
s723,470
s724,471
s725,472
s727,473
s727,474
s728,475
s728,476
s729,477
s736,478
s737,479
s738,480
s740,481
s741,482
s742,483
s743,484
s743,485
s744,486
s746,487
s747,486
s748,257
s751,488
s753,139
s755,489
s757,490
s758,491
s759,492
s760,493
s761,493
s763,494
s765,495
s766,496
s767,497
s769,498
s770,499
s770,500
s771,501
s772,502
s774,503
s775,504
s776,505
s777,506
s778,507
s778,508
s780,509
s782,510
s783,511
s784,512
s785,513
s787,514
s788,515
s789,516
s791,517
s792,518
s793,519
s794,520
s795,521
s797,522
s798,523
s799,524
s800,248
